seatNo,seatStatus,flightNo,departureDate
1A,Available,H6718,2020-11-10
1B,Available,H6718,2020-11-10
1A,Sold,OX785,2020-07-09
1B,Available,OX785,2020-07-09
1A,Sold,QT993,2020-08-28
1B,Sold,QT993,2020-08-28
1A,Available,2B34,2020-06-05
1B,Sold,2B34,2020-06-05
1A,Available,IJ985,2020-08-04
1B,Sold,IJ985,2020-08-04
1A,Sold,Q8956,2020-01-22
1B,Available,Q8956,2020-01-22
1A,Sold,LM746,2020-07-07
1B,Sold,LM746,2020-07-07
1A,Sold,ZI237,2020-06-02
1B,Available,ZI237,2020-06-02
1A,Sold,GK639,2020-07-19
1B,Sold,GK639,2020-07-19
1A,Sold,PJ755,2020-02-23
1B,Sold,PJ755,2020-02-23
1A,Available,D2752,2020-02-15
1B,Sold,D2752,2020-02-15
1A,Sold,PX556,2020-01-23
1B,Available,PX556,2020-01-23
1A,Available,OJ83,2020-02-14
1B,Available,OJ83,2020-02-14
1A,Available,3W997,2020-08-22
1B,Sold,3W997,2020-08-22
1A,Available,Y8124,2020-08-05
1B,Sold,Y8124,2020-08-05
1A,Available,5Y486,2020-03-22
1B,Sold,5Y486,2020-03-22
1A,Sold,7L518,2020-10-25
1B,Available,7L518,2020-10-25
1A,Available,ZS624,2020-09-03
1B,Sold,ZS624,2020-09-03
1A,Available,EA935,2020-07-17
1B,Sold,EA935,2020-07-17
1A,Available,OC311,2020-10-30
1B,Sold,OC311,2020-10-30
1A,Available,B0573,2020-09-10
1B,Sold,B0573,2020-09-10
1A,Available,T0192,2020-10-09
1B,Available,T0192,2020-10-09
1A,Sold,LU118,2020-11-23
1B,Sold,LU118,2020-11-23
1A,Available,JC601,2020-04-20
1B,Available,JC601,2020-04-20
1A,Available,JW308,2020-02-20
1B,Available,JW308,2020-02-20
1A,Sold,V2281,2020-01-02
1B,Sold,V2281,2020-01-02
1A,Available,ER399,2020-08-07
1B,Sold,ER399,2020-08-07
1A,Available,FO366,2020-01-09
1B,Sold,FO366,2020-01-09
1A,Available,PD501,2020-05-10
1B,Sold,PD501,2020-05-10
1A,Sold,KA659,2020-08-18
1B,Sold,KA659,2020-08-18
1A,Sold,O2127,2020-08-06
1B,Available,O2127,2020-08-06
1A,Sold,C1919,2020-10-24
1B,Sold,C1919,2020-10-24
1A,Sold,2B492,2020-05-19
1B,Available,2B492,2020-05-19
1A,Sold,M9847,2020-06-26
1B,Sold,M9847,2020-06-26
1A,Available,H6696,2020-07-27
1B,Sold,H6696,2020-07-27
1A,Sold,HT950,2020-06-24
1B,Sold,HT950,2020-06-24
1A,Available,QY996,2020-02-10
1B,Available,QY996,2020-02-10
1A,Sold,S4229,2020-07-02
1B,Sold,S4229,2020-07-02
1A,Available,7L518,2020-09-06
1B,Available,7L518,2020-09-06
1A,Sold,Z5988,2020-08-11
1B,Sold,Z5988,2020-08-11
1A,Sold,6R447,2020-05-30
1B,Sold,6R447,2020-05-30
1A,Sold,HP658,2020-06-21
1B,Sold,HP658,2020-06-21
1A,Available,MU89,2020-11-07
1B,Sold,MU89,2020-11-07
1A,Sold,VI889,2020-05-26
1B,Available,VI889,2020-05-26
1A,Sold,WH482,2020-11-04
1B,Available,WH482,2020-11-04
1A,Sold,AD680,2020-09-02
1B,Sold,AD680,2020-09-02
1A,Sold,RV638,2020-08-02
1B,Sold,RV638,2020-08-02
1A,Sold,JU899,2020-09-22
1B,Available,JU899,2020-09-22
1A,Sold,HM655,2020-01-12
1B,Sold,HM655,2020-01-12
1A,Sold,D3316,2020-01-16
1B,Available,D3316,2020-01-16
1A,Available,ZJ490,2020-09-10
1B,Available,ZJ490,2020-09-10
1A,Available,FT284,2020-08-09
1B,Available,FT284,2020-08-09
1A,Available,SX41,2020-01-07
1B,Available,SX41,2020-01-07
1A,Sold,WW477,2020-05-04
1B,Sold,WW477,2020-05-04
1A,Available,FJ422,2020-07-01
1B,Sold,FJ422,2020-07-01
1A,Sold,KQ586,2020-02-16
1B,Sold,KQ586,2020-02-16
1A,Available,AC475,2020-01-25
1B,Sold,AC475,2020-01-25
1A,Available,5J849,2020-07-25
1B,Sold,5J849,2020-07-25
1A,Sold,VT963,2020-07-11
1B,Sold,VT963,2020-07-11
1A,Available,MA663,2020-09-17
1B,Available,MA663,2020-09-17
1A,Available,NH551,2020-05-30
1B,Sold,NH551,2020-05-30
1A,Available,ZE925,2020-09-16
1B,Available,ZE925,2020-09-16
1A,Available,RZ598,2020-08-14
1B,Available,RZ598,2020-08-14
1A,Sold,OA959,2020-05-11
1B,Available,OA959,2020-05-11
1A,Available,AC475,2020-08-15
1B,Available,AC475,2020-08-15
1A,Sold,9L991,2020-05-19
1B,Sold,9L991,2020-05-19
1A,Sold,T6312,2020-02-06
1B,Sold,T6312,2020-02-06
1A,Sold,ER399,2020-07-17
1B,Sold,ER399,2020-07-17
1A,Available,WO467,2020-01-19
1B,Available,WO467,2020-01-19
1A,Sold,OO903,2020-02-26
1B,Available,OO903,2020-02-26
1A,Sold,KC195,2020-10-21
1B,Available,KC195,2020-10-21
1A,Sold,1B953,2020-09-02
1B,Sold,1B953,2020-09-02
1A,Available,TT180,2020-09-07
1B,Available,TT180,2020-09-07
1A,Sold,KC195,2020-03-25
1B,Sold,KC195,2020-03-25
1A,Available,0P82,2020-02-17
1B,Sold,0P82,2020-02-17
1A,Available,TS373,2020-04-13
1B,Sold,TS373,2020-04-13
1A,Sold,JA142,2020-10-16
1B,Sold,JA142,2020-10-16
1A,Sold,CH370,2020-03-30
1B,Available,CH370,2020-03-30
1A,Available,5H623,2020-03-22
1B,Available,5H623,2020-03-22
1A,Sold,HU85,2020-02-20
1B,Sold,HU85,2020-02-20
1A,Sold,AO144,2020-04-06
1B,Available,AO144,2020-04-06
1A,Sold,XJ859,2020-08-10
1B,Available,XJ859,2020-08-10
1A,Sold,AF451,2020-03-20
1B,Available,AF451,2020-03-20
1A,Available,AI911,2020-09-25
1B,Sold,AI911,2020-09-25
1A,Available,DV778,2020-10-21
1B,Available,DV778,2020-10-21
1A,Available,GW65,2020-06-06
1B,Sold,GW65,2020-06-06
1A,Sold,HE155,2020-01-31
1B,Available,HE155,2020-01-31
1A,Available,SL23,2020-10-30
1B,Sold,SL23,2020-10-30
1A,Available,H6696,2020-04-20
1B,Available,H6696,2020-04-20
1A,Sold,1K506,2020-02-25
1B,Available,1K506,2020-02-25
1A,Sold,MR750,2020-05-04
1B,Sold,MR750,2020-05-04
1A,Sold,A747,2020-05-05
1B,Sold,A747,2020-05-05
1A,Available,GK446,2020-08-28
1B,Available,GK446,2020-08-28
1A,Available,GT231,2020-08-22
1B,Sold,GT231,2020-08-22
1A,Available,7M721,2020-09-07
1B,Sold,7M721,2020-09-07
1A,Sold,UU863,2020-04-04
1B,Sold,UU863,2020-04-04
1A,Available,NP345,2020-08-06
1B,Sold,NP345,2020-08-06
1A,Sold,X3977,2020-11-17
1B,Available,X3977,2020-11-17
1A,Available,EY147,2020-10-31
1B,Available,EY147,2020-10-31
1A,Available,DC436,2020-10-05
1B,Available,DC436,2020-10-05
1A,Available,4D398,2020-09-30
1B,Sold,4D398,2020-09-30
1A,Sold,6F400,2020-02-08
1B,Available,6F400,2020-02-08
1A,Sold,JZ102,2020-10-01
1B,Available,JZ102,2020-10-01
1A,Available,WY823,2020-06-20
1B,Available,WY823,2020-06-20
1A,Available,YO234,2020-10-24
1B,Sold,YO234,2020-10-24
1A,Available,2K610,2020-06-04
1B,Sold,2K610,2020-06-04
1A,Sold,OS379,2020-09-28
1B,Available,OS379,2020-09-28
1A,Sold,MA663,2020-09-24
1B,Available,MA663,2020-09-24
1A,Available,CN239,2020-07-07
1B,Available,CN239,2020-07-07
1A,Sold,5Q881,2020-09-08
1B,Available,5Q881,2020-09-08
1A,Sold,QY411,2020-04-15
1B,Available,QY411,2020-04-15
1A,Sold,HM655,2020-05-17
1B,Sold,HM655,2020-05-17
1A,Available,UI857,2020-02-25
1B,Available,UI857,2020-02-25
1A,Sold,U9852,2020-04-20
1B,Sold,U9852,2020-04-20
1A,Sold,K281,2020-10-26
1B,Available,K281,2020-10-26
1A,Available,RQ555,2020-10-25
1B,Available,RQ555,2020-10-25
1A,Sold,3R470,2020-11-02
1B,Available,3R470,2020-11-02
1A,Sold,6F400,2020-05-30
1B,Available,6F400,2020-05-30
1A,Available,VP748,2020-09-18
1B,Available,VP748,2020-09-18
1A,Sold,BV360,2020-02-28
1B,Sold,BV360,2020-02-28
1A,Sold,4D398,2020-08-26
1B,Sold,4D398,2020-08-26
1A,Sold,DX139,2020-11-17
1B,Sold,DX139,2020-11-17
1A,Sold,2B34,2020-04-17
1B,Sold,2B34,2020-04-17
1A,Sold,FF735,2020-04-29
1B,Sold,FF735,2020-04-29
1A,Available,R4321,2020-08-24
1B,Available,R4321,2020-08-24
1A,Sold,Z2983,2020-03-26
1B,Available,Z2983,2020-03-26
1A,Sold,ZT498,2020-10-28
1B,Sold,ZT498,2020-10-28
1A,Sold,O8140,2020-02-26
1B,Available,O8140,2020-02-26
1A,Sold,PE920,2020-08-11
1B,Sold,PE920,2020-08-11
1A,Sold,CG647,2020-08-04
1B,Sold,CG647,2020-08-04
1A,Available,WZ648,2020-07-20
1B,Available,WZ648,2020-07-20
1A,Available,9K716,2020-04-27
1B,Sold,9K716,2020-04-27
1A,Available,Z8479,2020-03-05
1B,Available,Z8479,2020-03-05
1A,Sold,Y7510,2020-07-31
1B,Available,Y7510,2020-07-31
1A,Available,VH866,2020-09-03
1B,Available,VH866,2020-09-03
1A,Available,AM412,2020-09-22
1B,Sold,AM412,2020-09-22
1A,Sold,JE633,2020-04-19
1B,Sold,JE633,2020-04-19
1A,Sold,PJ693,2020-09-27
1B,Available,PJ693,2020-09-27
1A,Sold,FJ544,2020-05-09
1B,Sold,FJ544,2020-05-09
1A,Sold,Y8838,2020-04-13
1B,Available,Y8838,2020-04-13
1A,Sold,EQ243,2020-01-29
1B,Available,EQ243,2020-01-29
1A,Available,4K516,2020-03-22
1B,Available,4K516,2020-03-22
1A,Sold,2X714,2020-05-08
1B,Sold,2X714,2020-05-08
1A,Sold,VO829,2020-04-03
1B,Available,VO829,2020-04-03
1A,Sold,EZ880,2020-09-11
1B,Sold,EZ880,2020-09-11
1A,Sold,R7799,2020-01-16
1B,Available,R7799,2020-01-16
1A,Available,FI715,2020-04-24
1B,Available,FI715,2020-04-24
1A,Available,DC530,2020-10-02
1B,Available,DC530,2020-10-02
1A,Available,J567,2020-05-27
1B,Sold,J567,2020-05-27
1A,Sold,I3434,2020-11-24
1B,Available,I3434,2020-11-24
1A,Available,JZ290,2020-05-25
1B,Sold,JZ290,2020-05-25
1A,Available,O8140,2020-06-10
1B,Sold,O8140,2020-06-10
1A,Available,RV454,2020-09-25
1B,Sold,RV454,2020-09-25
1A,Available,Y8713,2020-05-03
1B,Available,Y8713,2020-05-03
1A,Available,XL524,2020-08-21
1B,Sold,XL524,2020-08-21
1A,Sold,HE890,2020-07-05
1B,Sold,HE890,2020-07-05
1A,Available,XV148,2020-11-17
1B,Available,XV148,2020-11-17
1A,Available,Y1204,2020-09-01
1B,Sold,Y1204,2020-09-01
1A,Sold,JX448,2020-02-04
1B,Sold,JX448,2020-02-04
1A,Sold,UL766,2020-03-15
1B,Available,UL766,2020-03-15
1A,Sold,OS443,2020-08-13
1B,Sold,OS443,2020-08-13
1A,Sold,HE671,2020-06-29
1B,Available,HE671,2020-06-29
1A,Available,2U133,2020-08-02
1B,Available,2U133,2020-08-02
1A,Sold,UL766,2020-02-16
1B,Sold,UL766,2020-02-16
1A,Available,GH211,2020-01-20
1B,Sold,GH211,2020-01-20
1A,Sold,DB964,2020-02-21
1B,Sold,DB964,2020-02-21
1A,Sold,4L653,2020-03-30
1B,Available,4L653,2020-03-30
1A,Sold,0P82,2020-08-31
1B,Available,0P82,2020-08-31
1A,Available,7K391,2020-08-24
1B,Sold,7K391,2020-08-24
1A,Sold,4A433,2020-07-23
1B,Available,4A433,2020-07-23
1A,Available,L9868,2020-11-05
1B,Available,L9868,2020-11-05
1A,Sold,S2929,2020-11-03
1B,Sold,S2929,2020-11-03
1A,Available,GK639,2020-08-23
1B,Available,GK639,2020-08-23
1A,Sold,AX303,2020-07-21
1B,Sold,AX303,2020-07-21
1A,Available,PN619,2020-03-31
1B,Sold,PN619,2020-03-31
1A,Sold,QA731,2020-09-29
1B,Sold,QA731,2020-09-29
1A,Available,B8209,2020-11-20
1B,Sold,B8209,2020-11-20
1A,Sold,AP990,2020-07-07
1B,Available,AP990,2020-07-07
1A,Available,VT596,2020-03-06
1B,Sold,VT596,2020-03-06
1A,Sold,RZ815,2020-10-08
1B,Sold,RZ815,2020-10-08
1A,Available,1T256,2020-01-15
1B,Available,1T256,2020-01-15
1A,Sold,TC719,2020-07-04
1B,Sold,TC719,2020-07-04
1A,Sold,FI715,2020-02-21
1B,Sold,FI715,2020-02-21
1A,Available,CV432,2020-06-02
1B,Available,CV432,2020-06-02
1A,Available,W3186,2020-02-18
1B,Sold,W3186,2020-02-18
1A,Sold,W3186,2020-06-23
1B,Available,W3186,2020-06-23
1A,Available,ZW371,2020-03-01
1B,Sold,ZW371,2020-03-01
1A,Available,HC343,2020-03-24
1B,Available,HC343,2020-03-24
1A,Available,SK784,2020-04-24
1B,Sold,SK784,2020-04-24
1A,Available,5M677,2020-09-13
1B,Available,5M677,2020-09-13
1A,Sold,5E292,2020-02-21
1B,Available,5E292,2020-02-21
1A,Available,JW757,2020-03-28
1B,Available,JW757,2020-03-28
1A,Sold,VL227,2020-04-14
1B,Sold,VL227,2020-04-14
1A,Sold,MW939,2020-06-21
1B,Sold,MW939,2020-06-21
1A,Available,BC328,2020-01-25
1B,Sold,BC328,2020-01-25
1A,Sold,QS185,2020-01-17
1B,Sold,QS185,2020-01-17
1A,Available,HU85,2020-02-06
1B,Sold,HU85,2020-02-06
1A,Sold,UT428,2020-09-24
1B,Available,UT428,2020-09-24
1A,Available,WN771,2020-03-03
1B,Sold,WN771,2020-03-03
1A,Available,KQ586,2020-08-16
1B,Sold,KQ586,2020-08-16
1A,Available,5T751,2020-05-02
1B,Sold,5T751,2020-05-02
1A,Available,HP658,2020-05-03
1B,Available,HP658,2020-05-03
1A,Sold,JX392,2020-05-31
1B,Available,JX392,2020-05-31
1A,Sold,B3299,2020-06-24
1B,Sold,B3299,2020-06-24
1A,Sold,SS464,2020-01-06
1B,Available,SS464,2020-01-06
1A,Available,NB222,2020-05-11
1B,Sold,NB222,2020-05-11
1A,Sold,TJ232,2020-02-19
1B,Sold,TJ232,2020-02-19
1A,Sold,DL869,2020-06-16
1B,Sold,DL869,2020-06-16
1A,Available,DA982,2020-05-12
1B,Available,DA982,2020-05-12
1A,Available,PT420,2020-07-16
1B,Available,PT420,2020-07-16
1A,Sold,RS876,2020-11-01
1B,Available,RS876,2020-11-01
1A,Available,EG323,2020-03-17
1B,Available,EG323,2020-03-17
1A,Available,3W491,2020-10-24
1B,Available,3W491,2020-10-24
1A,Sold,4D398,2020-03-11
1B,Sold,4D398,2020-03-11
1A,Available,NH66,2020-06-28
1B,Sold,NH66,2020-06-28
1A,Sold,VH866,2020-07-23
1B,Available,VH866,2020-07-23
1A,Available,U838,2020-10-16
1B,Available,U838,2020-10-16
1A,Available,7L518,2020-10-04
1B,Sold,7L518,2020-10-04
1A,Sold,L540,2020-03-13
1B,Available,L540,2020-03-13
1A,Sold,NH551,2020-11-21
1B,Available,NH551,2020-11-21
1A,Sold,NJ219,2020-03-11
1B,Available,NJ219,2020-03-11
1A,Available,SW728,2020-07-04
1B,Available,SW728,2020-07-04
1A,Available,O2127,2020-09-17
1B,Sold,O2127,2020-09-17
1A,Sold,IB851,2020-06-07
1B,Available,IB851,2020-06-07
1A,Sold,PX824,2020-06-30
1B,Available,PX824,2020-06-30
1A,Available,4T196,2020-03-09
1B,Available,4T196,2020-03-09
1A,Available,KR505,2020-09-02
1B,Sold,KR505,2020-09-02
1A,Sold,OJ457,2020-03-08
1B,Sold,OJ457,2020-03-08
1A,Available,CE603,2020-07-13
1B,Sold,CE603,2020-07-13
1A,Available,JD626,2020-06-30
1B,Sold,JD626,2020-06-30
1A,Sold,H6696,2020-10-26
1B,Available,H6696,2020-10-26
1A,Sold,M5437,2020-03-04
1B,Available,M5437,2020-03-04
1A,Sold,8T344,2020-02-28
1B,Available,8T344,2020-02-28
1A,Sold,N7907,2020-03-28
1B,Sold,N7907,2020-03-28
1A,Available,6G137,2020-10-10
1B,Available,6G137,2020-10-10
1A,Available,P8114,2020-01-05
1B,Available,P8114,2020-01-05
1A,Sold,WW386,2020-11-01
1B,Available,WW386,2020-11-01
1A,Sold,GW540,2020-03-20
1B,Available,GW540,2020-03-20
1A,Sold,DH254,2020-06-17
1B,Available,DH254,2020-06-17
1A,Sold,PT420,2020-05-21
1B,Available,PT420,2020-05-21
1A,Available,TG597,2020-05-11
1B,Sold,TG597,2020-05-11
1A,Sold,JZ290,2020-09-07
1B,Sold,JZ290,2020-09-07
1A,Sold,DO879,2020-10-27
1B,Available,DO879,2020-10-27
1A,Sold,WY823,2020-10-03
1B,Sold,WY823,2020-10-03
1A,Sold,NP345,2020-11-05
1B,Sold,NP345,2020-11-05
1A,Available,K5484,2020-07-31
1B,Sold,K5484,2020-07-31
1A,Available,A5640,2020-02-07
1B,Available,A5640,2020-02-07
1A,Available,BK274,2020-04-13
1B,Available,BK274,2020-04-13
1A,Sold,6R999,2020-09-12
1B,Sold,6R999,2020-09-12
1A,Available,RX421,2020-01-16
1B,Available,RX421,2020-01-16
1A,Sold,6D334,2020-01-15
1B,Available,6D334,2020-01-15
1A,Available,VX650,2020-07-15
1B,Sold,VX650,2020-07-15
1A,Available,UL766,2020-08-30
1B,Available,UL766,2020-08-30
1A,Sold,UE336,2020-06-07
1B,Available,UE336,2020-06-07
1A,Sold,VV796,2020-01-13
1B,Sold,VV796,2020-01-13
1A,Available,ZY96,2020-07-07
1B,Available,ZY96,2020-07-07
1A,Available,I3893,2020-03-05
1B,Sold,I3893,2020-03-05
1A,Available,QV404,2020-06-14
1B,Sold,QV404,2020-06-14
1A,Sold,ZI998,2020-07-09
1B,Sold,ZI998,2020-07-09
1A,Sold,UL766,2020-06-21
1B,Sold,UL766,2020-06-21
1A,Available,DO761,2020-04-15
1B,Available,DO761,2020-04-15
1A,Available,PW928,2020-10-02
1B,Sold,PW928,2020-10-02
1A,Sold,8A79,2020-11-06
1B,Available,8A79,2020-11-06
1A,Available,YH313,2020-09-03
1B,Sold,YH313,2020-09-03
1A,Sold,CN636,2020-10-24
1B,Available,CN636,2020-10-24
1A,Available,WX361,2020-03-30
1B,Available,WX361,2020-03-30
1A,Sold,W3337,2020-04-04
1B,Sold,W3337,2020-04-04
1A,Sold,6K611,2020-09-05
1B,Available,6K611,2020-09-05
1A,Sold,GK639,2020-03-08
1B,Available,GK639,2020-03-08
1A,Sold,ZE925,2020-02-26
1B,Available,ZE925,2020-02-26
1A,Sold,MP690,2020-10-07
1B,Available,MP690,2020-10-07
1A,Sold,VL512,2020-09-08
1B,Available,VL512,2020-09-08
1A,Sold,9E625,2020-07-06
1B,Sold,9E625,2020-07-06
1A,Available,BA747,2020-07-04
1B,Available,BA747,2020-07-04
1A,Sold,0Y333,2020-01-22
1B,Available,0Y333,2020-01-22
1A,Sold,CV432,2020-07-07
1B,Available,CV432,2020-07-07
1A,Available,MF930,2020-04-26
1B,Sold,MF930,2020-04-26
1A,Available,BM570,2020-07-25
1B,Sold,BM570,2020-07-25
1A,Available,HW403,2020-02-10
1B,Sold,HW403,2020-02-10
1A,Available,DF381,2020-03-19
1B,Sold,DF381,2020-03-19
1A,Sold,I844,2020-04-05
1B,Sold,I844,2020-04-05
1A,Sold,PP14,2020-06-16
1B,Sold,PP14,2020-06-16
1A,Available,5E12,2020-05-10
1B,Sold,5E12,2020-05-10
1A,Sold,XR21,2020-01-25
1B,Available,XR21,2020-01-25
1A,Available,6Y228,2020-11-18
1B,Sold,6Y228,2020-11-18
1A,Sold,TJ232,2020-07-08
1B,Sold,TJ232,2020-07-08
1A,Available,JN94,2020-02-06
1B,Available,JN94,2020-02-06
1A,Available,LQ955,2020-01-01
1B,Available,LQ955,2020-01-01
1A,Available,6R999,2020-07-11
1B,Sold,6R999,2020-07-11
1A,Available,KG393,2020-11-23
1B,Sold,KG393,2020-11-23
1A,Available,ZH934,2020-04-01
1B,Sold,ZH934,2020-04-01
1A,Sold,U838,2020-10-23
1B,Available,U838,2020-10-23
1A,Sold,GT168,2020-10-19
1B,Available,GT168,2020-10-19
1A,Sold,MA58,2020-03-24
1B,Sold,MA58,2020-03-24
1A,Sold,UU418,2020-10-24
1B,Available,UU418,2020-10-24
1A,Available,E3691,2020-05-07
1B,Sold,E3691,2020-05-07
1A,Available,AO320,2020-02-25
1B,Sold,AO320,2020-02-25
1A,Sold,ZG159,2020-09-22
1B,Sold,ZG159,2020-09-22
1A,Available,R7799,2020-09-24
1B,Available,R7799,2020-09-24
1A,Sold,DN918,2020-09-09
1B,Available,DN918,2020-09-09
1A,Sold,NJ219,2020-10-07
1B,Sold,NJ219,2020-10-07
1A,Sold,VO829,2020-08-07
1B,Sold,VO829,2020-08-07
1A,Available,5T781,2020-07-30
1B,Available,5T781,2020-07-30
1A,Sold,GL827,2020-02-13
1B,Available,GL827,2020-02-13
1A,Available,PP14,2020-04-07
1B,Sold,PP14,2020-04-07
1A,Sold,C2554,2020-10-19
1B,Available,C2554,2020-10-19
1A,Available,EX537,2020-10-05
1B,Sold,EX537,2020-10-05
1A,Sold,AA189,2020-05-08
1B,Sold,AA189,2020-05-08
1A,Sold,6E494,2020-03-15
1B,Available,6E494,2020-03-15
1A,Sold,ZK314,2020-06-24
1B,Available,ZK314,2020-06-24
1A,Sold,ZP909,2020-05-24
1B,Available,ZP909,2020-05-24
1A,Sold,HE155,2020-07-03
1B,Available,HE155,2020-07-03
1A,Available,7H405,2020-05-24
1B,Available,7H405,2020-05-24
1A,Available,8H572,2020-01-14
1B,Sold,8H572,2020-01-14
1A,Available,PC17,2020-07-25
1B,Available,PC17,2020-07-25
1A,Sold,R4629,2020-11-09
1B,Sold,R4629,2020-11-09
1A,Available,C1919,2020-08-29
1B,Sold,C1919,2020-08-29
1A,Available,PP14,2020-09-08
1B,Sold,PP14,2020-09-08
1A,Available,MQ208,2020-08-11
1B,Sold,MQ208,2020-08-11
1A,Available,OS367,2020-03-17
1B,Available,OS367,2020-03-17
1A,Sold,OI962,2020-04-24
1B,Sold,OI962,2020-04-24
1A,Available,R4629,2020-11-16
1B,Available,R4629,2020-11-16
1A,Sold,NL592,2020-10-15
1B,Available,NL592,2020-10-15
1A,Available,HT511,2020-04-13
1B,Sold,HT511,2020-04-13
1A,Sold,Y1204,2020-05-05
1B,Sold,Y1204,2020-05-05
1A,Available,AA87,2020-01-11
1B,Available,AA87,2020-01-11
1A,Available,L9358,2020-07-09
1B,Sold,L9358,2020-07-09
1A,Sold,8D483,2020-06-17
1B,Available,8D483,2020-06-17
1A,Sold,WW386,2020-07-05
1B,Sold,WW386,2020-07-05
1A,Available,ER135,2020-11-01
1B,Available,ER135,2020-11-01
1A,Available,E2936,2020-05-15
1B,Sold,E2936,2020-05-15
1A,Sold,CG74,2020-02-28
1B,Available,CG74,2020-02-28
1A,Sold,TD571,2020-02-26
1B,Sold,TD571,2020-02-26
1A,Sold,3O346,2020-06-09
1B,Available,3O346,2020-06-09
1A,Sold,CZ134,2020-02-27
1B,Sold,CZ134,2020-02-27
1A,Sold,GY773,2020-09-21
1B,Sold,GY773,2020-09-21
1A,Available,D3184,2020-04-07
1B,Sold,D3184,2020-04-07
1A,Available,ZI998,2020-07-30
1B,Available,ZI998,2020-07-30
1A,Available,7R508,2020-03-14
1B,Available,7R508,2020-03-14
1A,Available,IO350,2020-06-18
1B,Available,IO350,2020-06-18
1A,Available,PP183,2020-06-05
1B,Sold,PP183,2020-06-05
1A,Available,PP992,2020-04-28
1B,Sold,PP992,2020-04-28
1A,Available,4X765,2020-10-25
1B,Sold,4X765,2020-10-25
1A,Sold,NF368,2020-10-13
1B,Available,NF368,2020-10-13
1A,Sold,TF242,2020-08-01
1B,Available,TF242,2020-08-01
1A,Sold,L7419,2020-05-28
1B,Available,L7419,2020-05-28
1A,Sold,FU910,2020-05-09
1B,Sold,FU910,2020-05-09
1A,Available,3O346,2020-01-21
1B,Available,3O346,2020-01-21
1A,Sold,IO357,2020-02-29
1B,Available,IO357,2020-02-29
1A,Sold,AC460,2020-02-13
1B,Sold,AC460,2020-02-13
1A,Sold,UU863,2020-05-02
1B,Available,UU863,2020-05-02
1A,Sold,KJ480,2020-07-29
1B,Sold,KJ480,2020-07-29
1A,Available,5H623,2020-05-03
1B,Sold,5H623,2020-05-03
1A,Sold,D2752,2020-03-07
1B,Available,D2752,2020-03-07
1A,Available,GG97,2020-08-28
1B,Available,GG97,2020-08-28
1A,Sold,N8981,2020-07-08
1B,Sold,N8981,2020-07-08
1A,Sold,IY944,2020-04-27
1B,Sold,IY944,2020-04-27
1A,Sold,ZP909,2020-09-20
1B,Available,ZP909,2020-09-20
1A,Sold,O1223,2020-07-29
1B,Sold,O1223,2020-07-29
1A,Available,DV778,2020-05-27
1B,Sold,DV778,2020-05-27
1A,Available,YH565,2020-03-19
1B,Sold,YH565,2020-03-19
1A,Available,AL9,2020-04-20
1B,Sold,AL9,2020-04-20
1A,Available,ZI813,2020-07-18
1B,Available,ZI813,2020-07-18
1A,Sold,G5687,2020-09-18
1B,Sold,G5687,2020-09-18
1A,Sold,VI889,2020-02-18
1B,Available,VI889,2020-02-18
1A,Sold,2T257,2020-08-26
1B,Available,2T257,2020-08-26
1A,Available,ER135,2020-09-06
1B,Available,ER135,2020-09-06
1A,Available,FO481,2020-05-10
1B,Available,FO481,2020-05-10
1A,Sold,L4825,2020-02-19
1B,Sold,L4825,2020-02-19
1A,Sold,LT279,2020-10-16
1B,Sold,LT279,2020-10-16
1A,Available,NR384,2020-08-18
1B,Available,NR384,2020-08-18
1A,Sold,B6278,2020-05-22
1B,Sold,B6278,2020-05-22
1A,Sold,PW378,2020-04-27
1B,Sold,PW378,2020-04-27
1A,Available,MF233,2020-11-20
1B,Sold,MF233,2020-11-20
1A,Available,TF242,2020-01-04
1B,Sold,TF242,2020-01-04
1A,Sold,RQ654,2020-01-15
1B,Sold,RQ654,2020-01-15
1A,Available,DE774,2020-02-11
1B,Available,DE774,2020-02-11
1A,Available,YO234,2020-02-15
1B,Sold,YO234,2020-02-15
1A,Sold,C9794,2020-10-23
1B,Available,C9794,2020-10-23
1A,Sold,XZ724,2020-04-07
1B,Available,XZ724,2020-04-07
1A,Sold,WR520,2020-09-10
1B,Available,WR520,2020-09-10
1A,Available,UK830,2020-05-19
1B,Sold,UK830,2020-05-19
1A,Sold,8J682,2020-01-12
1B,Available,8J682,2020-01-12
1A,Available,BX665,2020-10-25
1B,Sold,BX665,2020-10-25
1A,Sold,BP262,2020-06-03
1B,Available,BP262,2020-06-03
1A,Available,1E994,2020-05-12
1B,Sold,1E994,2020-05-12
1A,Available,HG407,2020-11-14
1B,Available,HG407,2020-11-14
1A,Sold,ZM125,2020-02-09
1B,Available,ZM125,2020-02-09
1A,Sold,L1294,2020-10-31
1B,Sold,L1294,2020-10-31
1A,Available,BT282,2020-11-24
1B,Available,BT282,2020-11-24
1A,Sold,VL512,2020-07-07
1B,Available,VL512,2020-07-07
1A,Sold,HM655,2020-05-24
1B,Sold,HM655,2020-05-24
1A,Available,RL283,2020-03-03
1B,Available,RL283,2020-03-03
1A,Available,GK639,2020-11-15
1B,Sold,GK639,2020-11-15
1A,Available,Q30,2020-11-08
1B,Sold,Q30,2020-11-08
1A,Sold,ZM125,2020-09-27
